Action space: 4
Episode 103 | Reward: 1.0 | Epsilon 0.961
Episode 104 | Reward: 3.0 | Epsilon 0.961
Episode 105 | Reward: 3.0 | Epsilon 0.960
Target updated at step 20000
Episode 106 | Reward: 2.0 | Epsilon 0.960
Episode 107 | Reward: 1.0 | Epsilon 0.959
Episode 108 | Reward: 3.0 | Epsilon 0.959
Episode 109 | Reward: 1.0 | Epsilon 0.958
Episode 110 | Reward: 0.0 | Epsilon 0.958
Episode 111 | Reward: 1.0 | Epsilon 0.958
Episode 112 | Reward: 2.0 | Epsilon 0.957
Episode 113 | Reward: 0.0 | Epsilon 0.957
Episode 114 | Reward: 3.0 | Epsilon 0.957
Episode 115 | Reward: 1.0 | Epsilon 0.956
Episode 116 | Reward: 2.0 | Epsilon 0.956
Episode 117 | Reward: 2.0 | Epsilon 0.955
Episode 118 | Reward: 1.0 | Epsilon 0.955
Episode 119 | Reward: 0.0 | Epsilon 0.955
Episode 120 | Reward: 1.0 | Epsilon 0.954
Episode 121 | Reward: 1.0 | Epsilon 0.954
Episode 122 | Reward: 1.0 | Epsilon 0.954
Episode 123 | Reward: 0.0 | Epsilon 0.953
Episode 124 | Reward: 2.0 | Epsilon 0.953
Episode 125 | Reward: 0.0 | Epsilon 0.953
Episode 126 | Reward: 1.0 | Epsilon 0.952
Episode 127 | Reward: 0.0 | Epsilon 0.952
Episode 128 | Reward: 0.0 | Epsilon 0.952
Episode 129 | Reward: 1.0 | Epsilon 0.951
Episode 130 | Reward: 5.0 | Epsilon 0.951
Episode 131 | Reward: 2.0 | Epsilon 0.950
Target updated at step 25000
Episode 132 | Reward: 0.0 | Epsilon 0.950
Episode 133 | Reward: 0.0 | Epsilon 0.950
Episode 134 | Reward: 0.0 | Epsilon 0.949
Episode 135 | Reward: 2.0 | Epsilon 0.949
Episode 136 | Reward: 5.0 | Epsilon 0.948
Episode 137 | Reward: 2.0 | Epsilon 0.948
Episode 138 | Reward: 2.0 | Epsilon 0.947
