Action space: 4
Episode 118 | Reward: 1.0 | Epsilon 0.978
Episode 119 | Reward: 0.0 | Epsilon 0.978
Episode 120 | Reward: 1.0 | Epsilon 0.978
Episode 121 | Reward: 1.0 | Epsilon 0.978
Episode 122 | Reward: 1.0 | Epsilon 0.977
Episode 123 | Reward: 1.0 | Epsilon 0.977
Episode 124 | Reward: 0.0 | Epsilon 0.977
Episode 125 | Reward: 2.0 | Epsilon 0.977
Episode 126 | Reward: 1.0 | Epsilon 0.977
Episode 127 | Reward: 2.0 | Epsilon 0.977
Episode 128 | Reward: 2.0 | Epsilon 0.976
Episode 129 | Reward: 4.0 | Epsilon 0.976
Episode 130 | Reward: 3.0 | Epsilon 0.976
Episode 131 | Reward: 0.0 | Epsilon 0.976
Episode 132 | Reward: 3.0 | Epsilon 0.975
Episode 133 | Reward: 1.0 | Epsilon 0.975
Target updated at step 25000
Episode 134 | Reward: 3.0 | Epsilon 0.975
Episode 135 | Reward: 2.0 | Epsilon 0.975
Episode 136 | Reward: 0.0 | Epsilon 0.975
Episode 137 | Reward: 10.0 | Epsilon 0.974
Episode 138 | Reward: 1.0 | Epsilon 0.974
Episode 139 | Reward: 4.0 | Epsilon 0.974
Episode 140 | Reward: 3.0 | Epsilon 0.973
Episode 141 | Reward: 2.0 | Epsilon 0.973
Episode 142 | Reward: 0.0 | Epsilon 0.973
Episode 143 | Reward: 1.0 | Epsilon 0.973
Episode 144 | Reward: 1.0 | Epsilon 0.973
Episode 145 | Reward: 0.0 | Epsilon 0.973
Episode 146 | Reward: 0.0 | Epsilon 0.972
Episode 147 | Reward: 1.0 | Epsilon 0.972
Episode 148 | Reward: 0.0 | Epsilon 0.972
Episode 149 | Reward: 8.0 | Epsilon 0.972
Episode 150 | Reward: 1.0 | Epsilon 0.972
Episode 151 | Reward: 0.0 | Epsilon 0.971
Episode 152 | Reward: 0.0 | Epsilon 0.971
Episode 153 | Reward: 0.0 | Epsilon 0.971
Episode 154 | Reward: 1.0 | Epsilon 0.971
Episode 155 | Reward: 0.0 | Epsilon 0.971
Episode 156 | Reward: 1.0 | Epsilon 0.971
Episode 157 | Reward: 1.0 | Epsilon 0.970
Episode 158 | Reward: 4.0 | Epsilon 0.970
Episode 159 | Reward: 0.0 | Epsilon 0.970
Target updated at step 30000
Episode 160 | Reward: 0.0 | Epsilon 0.970
Episode 161 | Reward: 1.0 | Epsilon 0.970
Episode 162 | Reward: 0.0 | Epsilon 0.970
Episode 163 | Reward: 2.0 | Epsilon 0.969
Episode 164 | Reward: 0.0 | Epsilon 0.969
Episode 165 | Reward: 1.0 | Epsilon 0.969
Episode 166 | Reward: 1.0 | Epsilon 0.969
Episode 167 | Reward: 0.0 | Epsilon 0.969
Episode 168 | Reward: 1.0 | Epsilon 0.969
Episode 169 | Reward: 1.0 | Epsilon 0.968
Episode 170 | Reward: 0.0 | Epsilon 0.968
Episode 171 | Reward: 4.0 | Epsilon 0.968
Episode 172 | Reward: 1.0 | Epsilon 0.968
Episode 173 | Reward: 3.0 | Epsilon 0.967
Episode 174 | Reward: 2.0 | Epsilon 0.967
Episode 175 | Reward: 2.0 | Epsilon 0.967
Episode 176 | Reward: 0.0 | Epsilon 0.967
Episode 177 | Reward: 4.0 | Epsilon 0.967
Episode 178 | Reward: 0.0 | Epsilon 0.966
Episode 179 | Reward: 3.0 | Epsilon 0.966
Episode 180 | Reward: 3.0 | Epsilon 0.966
Episode 181 | Reward: 1.0 | Epsilon 0.966
Episode 182 | Reward: 2.0 | Epsilon 0.966
Episode 183 | Reward: 3.0 | Epsilon 0.965
Episode 184 | Reward: 3.0 | Epsilon 0.965
Target updated at step 35000
Episode 185 | Reward: 2.0 | Epsilon 0.965
Episode 186 | Reward: 0.0 | Epsilon 0.965
Episode 187 | Reward: 4.0 | Epsilon 0.964
Episode 188 | Reward: 1.0 | Epsilon 0.964
Episode 189 | Reward: 4.0 | Epsilon 0.964
Episode 190 | Reward: 2.0 | Epsilon 0.964
Episode 191 | Reward: 3.0 | Epsilon 0.963
Episode 192 | Reward: 2.0 | Epsilon 0.963
Episode 193 | Reward: 0.0 | Epsilon 0.963
Episode 194 | Reward: 2.0 | Epsilon 0.963
Episode 195 | Reward: 2.0 | Epsilon 0.963
Episode 196 | Reward: 1.0 | Epsilon 0.962
Episode 197 | Reward: 2.0 | Epsilon 0.962
Episode 198 | Reward: 1.0 | Epsilon 0.962
Episode 199 | Reward: 3.0 | Epsilon 0.962
Episode 200 | Reward: 0.0 | Epsilon 0.962
Episode 201 | Reward: 1.0 | Epsilon 0.962
Episode 202 | Reward: 0.0 | Epsilon 0.961
Episode 203 | Reward: 1.0 | Epsilon 0.961
Episode 204 | Reward: 1.0 | Epsilon 0.961
Episode 205 | Reward: 1.0 | Epsilon 0.961
Episode 206 | Reward: 2.0 | Epsilon 0.961
Episode 207 | Reward: 2.0 | Epsilon 0.960
Episode 208 | Reward: 0.0 | Epsilon 0.960
Episode 209 | Reward: 2.0 | Epsilon 0.960
Target updated at step 40000
Episode 210 | Reward: 1.0 | Epsilon 0.960
Episode 211 | Reward: 0.0 | Epsilon 0.960
Episode 212 | Reward: 0.0 | Epsilon 0.960
Episode 213 | Reward: 1.0 | Epsilon 0.959
Episode 214 | Reward: 0.0 | Epsilon 0.959
Episode 215 | Reward: 3.0 | Epsilon 0.959
Episode 216 | Reward: 0.0 | Epsilon 0.959
Episode 217 | Reward: 1.0 | Epsilon 0.959
Episode 218 | Reward: 0.0 | Epsilon 0.959
Episode 219 | Reward: 0.0 | Epsilon 0.958
Episode 220 | Reward: 1.0 | Epsilon 0.958
Episode 221 | Reward: 0.0 | Epsilon 0.958
Episode 222 | Reward: 0.0 | Epsilon 0.958
Episode 223 | Reward: 1.0 | Epsilon 0.958
Episode 224 | Reward: 3.0 | Epsilon 0.958
Episode 225 | Reward: 1.0 | Epsilon 0.957
Episode 226 | Reward: 1.0 | Epsilon 0.957
Episode 227 | Reward: 3.0 | Epsilon 0.957
Episode 228 | Reward: 0.0 | Epsilon 0.957
Episode 229 | Reward: 1.0 | Epsilon 0.957
Episode 230 | Reward: 0.0 | Epsilon 0.956
Episode 231 | Reward: 1.0 | Epsilon 0.956
Episode 232 | Reward: 1.0 | Epsilon 0.956
Episode 233 | Reward: 3.0 | Epsilon 0.956
Episode 234 | Reward: 2.0 | Epsilon 0.956
Episode 235 | Reward: 0.0 | Epsilon 0.956
Episode 236 | Reward: 1.0 | Epsilon 0.955
Episode 237 | Reward: 4.0 | Epsilon 0.955
Target updated at step 45000
Episode 238 | Reward: 1.0 | Epsilon 0.955
Episode 239 | Reward: 1.0 | Epsilon 0.955
Episode 240 | Reward: 1.0 | Epsilon 0.955
Episode 241 | Reward: 0.0 | Epsilon 0.954
Episode 242 | Reward: 2.0 | Epsilon 0.954
Episode 243 | Reward: 0.0 | Epsilon 0.954
Episode 244 | Reward: 1.0 | Epsilon 0.954
Episode 245 | Reward: 1.0 | Epsilon 0.954
Episode 246 | Reward: 0.0 | Epsilon 0.954
Episode 247 | Reward: 0.0 | Epsilon 0.953
Episode 248 | Reward: 4.0 | Epsilon 0.953
Episode 249 | Reward: 1.0 | Epsilon 0.953
Episode 250 | Reward: 1.0 | Epsilon 0.953
Episode 251 | Reward: 0.0 | Epsilon 0.953
Episode 252 | Reward: 1.0 | Epsilon 0.952
Episode 253 | Reward: 0.0 | Epsilon 0.952
Episode 254 | Reward: 0.0 | Epsilon 0.952
Episode 255 | Reward: 0.0 | Epsilon 0.952
Episode 256 | Reward: 0.0 | Epsilon 0.952
Episode 257 | Reward: 0.0 | Epsilon 0.952
Episode 258 | Reward: 2.0 | Epsilon 0.952
Episode 259 | Reward: 1.0 | Epsilon 0.951
Episode 260 | Reward: 0.0 | Epsilon 0.951
Episode 261 | Reward: 2.0 | Epsilon 0.951
Episode 262 | Reward: 2.0 | Epsilon 0.951
Episode 263 | Reward: 0.0 | Epsilon 0.951
Episode 264 | Reward: 3.0 | Epsilon 0.950
Episode 265 | Reward: 3.0 | Epsilon 0.950
Target updated at step 50000
Episode 266 | Reward: 2.0 | Epsilon 0.950
Episode 267 | Reward: 1.0 | Epsilon 0.950
Episode 268 | Reward: 0.0 | Epsilon 0.950
Episode 269 | Reward: 0.0 | Epsilon 0.949
Episode 270 | Reward: 0.0 | Epsilon 0.949
Episode 271 | Reward: 0.0 | Epsilon 0.949
Episode 272 | Reward: 2.0 | Epsilon 0.949
Episode 273 | Reward: 1.0 | Epsilon 0.949
Episode 274 | Reward: 2.0 | Epsilon 0.949
Episode 275 | Reward: 0.0 | Epsilon 0.948
Episode 276 | Reward: 2.0 | Epsilon 0.948
Episode 277 | Reward: 1.0 | Epsilon 0.948
Episode 278 | Reward: 0.0 | Epsilon 0.948
Episode 279 | Reward: 0.0 | Epsilon 0.948
Episode 280 | Reward: 0.0 | Epsilon 0.948
Episode 281 | Reward: 1.0 | Epsilon 0.948
Episode 282 | Reward: 1.0 | Epsilon 0.947
Episode 283 | Reward: 0.0 | Epsilon 0.947
Episode 284 | Reward: 2.0 | Epsilon 0.947
Episode 285 | Reward: 0.0 | Epsilon 0.947
Episode 286 | Reward: 0.0 | Epsilon 0.947
Episode 287 | Reward: 0.0 | Epsilon 0.947
Episode 288 | Reward: 0.0 | Epsilon 0.946
Episode 289 | Reward: 0.0 | Epsilon 0.946
Episode 290 | Reward: 2.0 | Epsilon 0.946
Episode 291 | Reward: 1.0 | Epsilon 0.946
Episode 292 | Reward: 0.0 | Epsilon 0.946
Episode 293 | Reward: 0.0 | Epsilon 0.946
Episode 294 | Reward: 0.0 | Epsilon 0.946
Episode 295 | Reward: 1.0 | Epsilon 0.945
Episode 296 | Reward: 2.0 | Epsilon 0.945
Target updated at step 55000
Episode 297 | Reward: 0.0 | Epsilon 0.945
Episode 298 | Reward: 2.0 | Epsilon 0.945
Episode 299 | Reward: 0.0 | Epsilon 0.945
Episode 300 | Reward: 4.0 | Epsilon 0.944
Episode 301 | Reward: 2.0 | Epsilon 0.944
Episode 302 | Reward: 1.0 | Epsilon 0.944
Episode 303 | Reward: 1.0 | Epsilon 0.944
Episode 304 | Reward: 2.0 | Epsilon 0.943
Episode 305 | Reward: 3.0 | Epsilon 0.943
Episode 306 | Reward: 3.0 | Epsilon 0.943
Episode 307 | Reward: 2.0 | Epsilon 0.943
Episode 308 | Reward: 1.0 | Epsilon 0.943
Episode 309 | Reward: 0.0 | Epsilon 0.942
Episode 310 | Reward: 1.0 | Epsilon 0.942
Episode 311 | Reward: 0.0 | Epsilon 0.942
Episode 312 | Reward: 0.0 | Epsilon 0.942
Episode 313 | Reward: 2.0 | Epsilon 0.942
Episode 314 | Reward: 2.0 | Epsilon 0.942
Episode 315 | Reward: 1.0 | Epsilon 0.941
Episode 316 | Reward: 0.0 | Epsilon 0.941
Episode 317 | Reward: 0.0 | Epsilon 0.941
Episode 318 | Reward: 1.0 | Epsilon 0.941
Episode 319 | Reward: 3.0 | Epsilon 0.941
